sku_id,family_code,family,vendor,vendor_type,tier,territory,category,piece_type,retail,landed_cogs,margin_pct,margin_dollars,arm,back,seat,suspension,frame,joinery,legs,fabric,rub_count,mechanism,covers,width_in,depth_in,height_in,seat_depth_in,seat_height_in
DEN-SC2-G,DEN,Denby,Ashley,National brand,Good,Modern Transitional,Sectional,2-Pc Chaise Sectional,1099,560,49.04,539,Square track arm,Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,4,104,65,34,22,18
DEN-SC3-G,DEN,Denby,Ashley,National brand,Good,Modern Transitional,Sectional,3-Pc Sectional,1399,713,49.04,686,Square track arm,Attached pillow back,"1.8 lb HD poly foam, dacron wrap","Sinuous spring, 8.5 ga, 4"" spacing","Engineered hardwood (LVL + plywood), corner-blocked",Staple-and-glue with corner blocks,"Tapered wood leg, natural oak",Poly-blend performance flat weave,18000,,4,118,88,34,22,18
EAS-REC-G,EAS,Easton,Ashley,National brand,Good,Casual Transitional,Motion,Manual Recliner,499,257,48.5,242,Pillow-top rolled arm,Attached channel back,"4.5"" 1.8 lb HD poly foam",Sinuous spring over steel seat box,Engineered hardwood + steel mechanism reinforcement plates,"Staple-and-glue, bolted at mechanism points",Concealed base,Poly-blend performance / PU leather-look,20000,Two-position push-back,4,38,40,41,21,20
EAS-RSF-G,EAS,Easton,Ashley,National brand,Good,Casual Transitional,Motion,Reclining Sofa,999,514,48.55,485,Pillow-top rolled arm,Attached channel back,"4.5"" 1.8 lb HD poly foam",Sinuous spring over steel seat box,Engineered hardwood + steel mechanism reinforcement plates,"Staple-and-glue, bolted at mechanism points",Concealed base,Poly-blend performance / PU leather-look,20000,"3-position manual, dual recline",4,87,40,41,21,20
EAS-RLS-G,EAS,Easton,Ashley,National brand,Good,Casual Transitional,Motion,Reclining Loveseat,949,489,48.47,460,Pillow-top rolled arm,Attached channel back,"4.5"" 1.8 lb HD poly foam",Sinuous spring over steel seat box,Engineered hardwood + steel mechanism reinforcement plates,"Staple-and-glue, bolted at mechanism points",Concealed base,Poly-blend performance / PU leather-look,20000,"3-position manual, dual recline",4,65,40,41,21,20
GLN-SOF-B,GLN,Glenwood,TBD,Unsourced,Better,Classic Transitional,Stationary,Sofa,1299,611,52.96,688,English (Charles of London) arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Turned wood leg, pecan finish",Performance chenille / textured weave,35000,,10,88,39,38,22,19
GLN-LVS-B,GLN,Glenwood,TBD,Unsourced,Better,Classic Transitional,Stationary,Loveseat,1199,564,52.96,635,English (Charles of London) arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Turned wood leg, pecan finish",Performance chenille / textured weave,35000,,10,65,39,38,22,19
GLN-CHR-B,GLN,Glenwood,TBD,Unsourced,Better,Classic Transitional,Stationary,Chair,799,376,52.94,423,English (Charles of London) arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Turned wood leg, pecan finish",Performance chenille / textured weave,35000,,10,41,39,38,22,19
GLN-OTT-B,GLN,Glenwood,TBD,Unsourced,Better,Classic Transitional,Stationary,Ottoman,429,202,52.91,227,English (Charles of London) arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Turned wood leg, pecan finish",Performance chenille / textured weave,35000,,10,32,26,19,0,19
HAR-SOF-B,HAR,Harlow,TBD,Unsourced,Better,Modern Transitional,Stationary,Sofa,1199,576,51.96,623,"Track arm, contrast welt, rounded front edge","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,85,37,33,22,18
HAR-LVS-B,HAR,Harlow,TBD,Unsourced,Better,Modern Transitional,Stationary,Loveseat,1099,528,51.96,571,"Track arm, contrast welt, rounded front edge","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,62,37,33,22,18
HAR-CHR-B,HAR,Harlow,TBD,Unsourced,Better,Modern Transitional,Stationary,Chair,749,360,51.94,389,"Track arm, contrast welt, rounded front edge","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,39,37,33,22,18
HAR-ACH-B,HAR,Harlow,TBD,Unsourced,Better,Modern Transitional,Stationary,Accent Chair,579,278,51.99,301,"Track arm, contrast welt, rounded front edge","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,31,33,34,21,18
IVY-SOF-B,IVY,Ivywood,TBD,Unsourced,Better,Casual Transitional,Stationary,Sofa,1349,634,53.0,715,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,92,41,39,24,19
IVY-LVS-B,IVY,Ivywood,TBD,Unsourced,Better,Casual Transitional,Stationary,Loveseat,1249,587,53.0,662,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,69,41,39,24,19
IVY-CHR-B,IVY,Ivywood,TBD,Unsourced,Better,Casual Transitional,Stationary,Chair,849,399,53.0,450,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,44,41,39,24,19
IVY-OTT-B,IVY,Ivywood,TBD,Unsourced,Better,Casual Transitional,Stationary,Ottoman,449,211,53.01,238,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,34,28,19,0,19
OAK-SOF-B,OAK,Oakhurst,TBD,Unsourced,Better,Modern Transitional,Stationary,Sofa,1249,593,52.52,656,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,12,86,38,35,22,19
OAK-LVS-B,OAK,Oakhurst,TBD,Unsourced,Better,Modern Transitional,Stationary,Loveseat,1149,546,52.48,603,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,12,63,38,35,22,19
OAK-CHR-B,OAK,Oakhurst,TBD,Unsourced,Better,Modern Transitional,Stationary,Chair,779,370,52.5,409,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,12,40,38,35,22,19
OAK-OTT-B,OAK,Oakhurst,TBD,Unsourced,Better,Modern Transitional,Stationary,Ottoman,439,209,52.39,230,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,12,31,25,19,0,19
OAK-SLP-B,OAK,Oakhurst,TBD,Unsourced,Better,Modern Transitional,Stationary,Queen Sleeper Sofa,1499,735,50.97,764,"Square track arm, contrast welt",Attached pillow back,"2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, natural oak",Full performance program -- stain + moisture barrier,50000,,12,88,40,36,22,19
LAN-SC2-B,LAN,Lanmore,TBD,Unsourced,Better,Modern Transitional,Sectional,2-Pc Chaise Sectional,1599,760,52.47,839,"Track arm, contrast welt","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,108,66,34,22,18
LAN-SC3-B,LAN,Lanmore,TBD,Unsourced,Better,Modern Transitional,Sectional,3-Pc Sectional,1899,902,52.5,997,"Track arm, contrast welt","Tight back, vertical channeling","2.0 lb HR foam core, dacron wrap","Sinuous spring, 9 ga, 3"" spacing","Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Brushed metal leg, matte black",Performance textured weave / linen-look poly,35000,,8,124,90,34,22,18
KNG-SC2-B,KNG,Kingsley,TBD,Unsourced,Better,Casual Transitional,Sectional,2-Pc Chaise Sectional,1699,807,52.5,892,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,112,68,39,24,19
KNG-SC3-B,KNG,Kingsley,TBD,Unsourced,Better,Casual Transitional,Sectional,3-Pc Sectional,1999,950,52.48,1049,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,130,92,39,24,19
KNG-SC5-B,KNG,Kingsley,TBD,Unsourced,Better,Casual Transitional,Sectional,5-Pc Modular Sectional,2199,1045,52.48,1154,Pillow-top track arm,"Loose pillow back, channeled poly fill","2.0 lb HR foam core, dacron wrap, 24"" seat depth",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Dowelled with corner blocks,"Tapered wood leg, walnut finish",Performance chenille,40000,,10,156,110,39,24,19
MAR-RRC-B,MAR,Marchetti,La-Z-Boy,National brand,Better,Classic Transitional,Motion,Rocker Recliner,699,336,51.93,363,"Rolled arm, contrast welt","Attached channel back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,3-position manual on rocker chassis,8,40,41,42,21,20
MAR-WRC-B,MAR,Marchetti,La-Z-Boy,National brand,Better,Classic Transitional,Motion,Wall-Saver Recliner,799,384,51.94,415,"Rolled arm, contrast welt","Attached channel back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,Wall-saver 3-position manual,8,40,41,42,21,20
MAR-RSF-B,MAR,Marchetti,La-Z-Boy,National brand,Better,Classic Transitional,Motion,Reclining Sofa,1449,696,51.97,753,"Rolled arm, contrast welt","Attached channel back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Wall-saver 3-position manual, dual recline",8,89,41,42,21,20
MAR-RLC-B,MAR,Marchetti,La-Z-Boy,National brand,Better,Classic Transitional,Motion,Reclining Loveseat w/ Console,1399,672,51.97,727,"Rolled arm, contrast welt","Attached channel back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Wall-saver 3-position manual, dual recline",8,76,41,42,21,20
NOR-PRC-B,NOR,Northfield,La-Z-Boy,National brand,Better,Casual Transitional,Motion,Power Recliner,999,485,51.45,514,Pillow-top track arm,"Attached pillow back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Single-motor power recline, infinite position, USB-A port",8,41,42,43,21,20
NOR-PSF-B,NOR,Northfield,La-Z-Boy,National brand,Better,Casual Transitional,Motion,Power Reclining Sofa,1899,921,51.5,978,Pillow-top track arm,"Attached pillow back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Single-motor power recline, infinite position, USB-A port",8,90,42,43,21,20
NOR-PLC-B,NOR,Northfield,La-Z-Boy,National brand,Better,Casual Transitional,Motion,Power Reclining Loveseat w/ Console,1849,897,51.49,952,Pillow-top track arm,"Attached pillow back, layered fiber","5"" 2.0 lb HR foam",Sinuous spring over steel seat box,Kiln-dried hardwood + steel bolt-through at stress points,"Dowelled, steel bolt-through at mechanism points",Concealed base,Performance fabric / split-grain leather,40000,"Single-motor power recline, infinite position, USB-A port",8,78,42,43,21,20
PEM-SOF-X,PEM,Pemberton,TBD,Unsourced,Best,Classic Transitional,Stationary,Sofa,1799,810,54.97,989,"English arm, scroll detail, antique nailhead border","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap (down-blend seat envelope available custom-order)",Pocketed coil drop-in unit,"Kiln-dried maple, corner-blocked",Mortise-and-tenon at all stress points,"Turned wood leg, hand-finished pecan",Premium woven / velvet / Crypton performance,60000,,16,90,40,39,22,20
PEM-LVS-X,PEM,Pemberton,TBD,Unsourced,Best,Classic Transitional,Stationary,Loveseat,1699,765,54.97,934,"English arm, scroll detail, antique nailhead border","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap (down-blend seat envelope available custom-order)",Pocketed coil drop-in unit,"Kiln-dried maple, corner-blocked",Mortise-and-tenon at all stress points,"Turned wood leg, hand-finished pecan",Premium woven / velvet / Crypton performance,60000,,16,67,40,39,22,20
PEM-CHR-X,PEM,Pemberton,TBD,Unsourced,Best,Classic Transitional,Stationary,Chair,1099,495,54.96,604,"English arm, scroll detail, antique nailhead border","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap (down-blend seat envelope available custom-order)",Pocketed coil drop-in unit,"Kiln-dried maple, corner-blocked",Mortise-and-tenon at all stress points,"Turned wood leg, hand-finished pecan",Premium woven / velvet / Crypton performance,60000,,16,42,40,39,22,20
PEM-OTT-X,PEM,Pemberton,TBD,Unsourced,Best,Classic Transitional,Stationary,Ottoman,579,261,54.92,318,"English arm, scroll detail, antique nailhead border","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap (down-blend seat envelope available custom-order)",Pocketed coil drop-in unit,"Kiln-dried maple, corner-blocked",Mortise-and-tenon at all stress points,"Turned wood leg, hand-finished pecan",Premium woven / velvet / Crypton performance,60000,,16,34,28,19,0,19
QUI-SOF-X,QUI,Quincy,TBD,Unsourced,Best,Modern Transitional,Stationary,Sofa,1749,805,53.97,944,"Scoop arm, sculpted","Tight back, sculpted foam","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed",Premium woven / velvet / Crypton performance,60000,,14,87,38,32,23,18
QUI-LVS-X,QUI,Quincy,TBD,Unsourced,Best,Modern Transitional,Stationary,Loveseat,1599,736,53.97,863,"Scoop arm, sculpted","Tight back, sculpted foam","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed",Premium woven / velvet / Crypton performance,60000,,14,64,38,32,23,18
QUI-CHR-X,QUI,Quincy,TBD,Unsourced,Best,Modern Transitional,Stationary,Chair,1079,496,54.03,583,"Scoop arm, sculpted","Tight back, sculpted foam","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed",Premium woven / velvet / Crypton performance,60000,,14,40,38,32,23,18
THO-SOF-X,THO,Thorne,TBD,Unsourced,Best,Modern Transitional,Stationary,Sofa,2299,1058,53.98,1241,Shelter (tuxedo) arm,"Tight back, arm height matched","2.2 lb HR foam core, dacron wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed","Top-grain leather, full aniline available",100000,,6,88,39,33,22,18
THO-LVS-X,THO,Thorne,TBD,Unsourced,Best,Modern Transitional,Stationary,Loveseat,2099,966,53.98,1133,Shelter (tuxedo) arm,"Tight back, arm height matched","2.2 lb HR foam core, dacron wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed","Top-grain leather, full aniline available",100000,,6,65,39,33,22,18
THO-CHR-X,THO,Thorne,TBD,Unsourced,Best,Modern Transitional,Stationary,Chair,1349,621,53.97,728,Shelter (tuxedo) arm,"Tight back, arm height matched","2.2 lb HR foam core, dacron wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Solid brass leg, brushed","Top-grain leather, full aniline available",100000,,6,41,39,33,22,18
RAV-SOF-X,RAV,Ravenswood,TBD,Unsourced,Best,Casual Transitional,Sectional,Sofa,1899,855,54.98,1044,"Pillow-top track arm, loose down-blend pillow","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Tapered wood leg, hand-finished walnut",Premium woven / performance velvet / Crypton,60000,,18,94,40,36,23,19
RAV-SC3-X,RAV,Ravenswood,TBD,Unsourced,Best,Casual Transitional,Sectional,3-Pc Modular Sectional,2699,1215,54.98,1484,"Pillow-top track arm, loose down-blend pillow","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Tapered wood leg, hand-finished walnut",Premium woven / performance velvet / Crypton,60000,,18,132,94,36,23,19
RAV-SC5-X,RAV,Ravenswood,TBD,Unsourced,Best,Casual Transitional,Sectional,5-Pc Modular Sectional,3199,1440,54.99,1759,"Pillow-top track arm, loose down-blend pillow","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Tapered wood leg, hand-finished walnut",Premium woven / performance velvet / Crypton,60000,,18,160,112,36,23,19
RAV-SC6-X,RAV,Ravenswood,TBD,Unsourced,Best,Casual Transitional,Sectional,6-Pc Modular Sectional,3499,1575,54.99,1924,"Pillow-top track arm, loose down-blend pillow","Loose pillow back, down-blend fill","2.2 lb HR foam core, thick fiber wrap",Pocketed coil drop-in unit,"Kiln-dried hardwood, corner-blocked",Mortise-and-tenon at all stress points,"Tapered wood leg, hand-finished walnut",Premium woven / performance velvet / Crypton,60000,,18,184,112,36,23,19
STR-PRC-X,STR,Stratton,Flexsteel,National brand,Best,Classic Transitional,Motion,Power Recliner,1499,675,54.97,824,"Rolled arm, contrast welt, nailhead border","Attached channel back, layered fiber","5"" 2.2 lb HR foam over encased spring unit",Encased spring unit over steel seat box,Kiln-dried hardwood + full steel bolt-through construction,Steel bolt-through at all mechanism and stress points,Concealed base,Top-grain leather / premium performance fabric,100000,"Dual-motor power recline with independent power headrest, power lumbar, USB-A + USB-C, battery backup",16,42,43,43,21,20
STR-PSF-X,STR,Stratton,Flexsteel,National brand,Best,Classic Transitional,Motion,Power Reclining Sofa,2799,1260,54.98,1539,"Rolled arm, contrast welt, nailhead border","Attached channel back, layered fiber","5"" 2.2 lb HR foam over encased spring unit",Encased spring unit over steel seat box,Kiln-dried hardwood + full steel bolt-through construction,Steel bolt-through at all mechanism and stress points,Concealed base,Top-grain leather / premium performance fabric,100000,"Dual-motor power recline with independent power headrest, power lumbar, USB-A + USB-C, battery backup",16,92,43,43,21,20
