sku_id,slot_type,slot_no,tier,brand,model,retail,category,mechanism,cover,color_tier,customer_job,trade_up_feature,strategic_segment,genz_flag,margin_pct,street,notes
R21,MDL,R-21,Better,La-Z-Boy,Morrison Rocker Recliner,699,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$669.99 SLBD / $497.99 HMKR,
R22,MDL,R-22,Better,Franklin,Yogi Power Recliner,749,Recliner,Power recline,NOT STATED,Anchor,My chair,power_recline,Power Depth,N,51.0,$729.99 SLBD,
R23,MDL,R-23,Better,La-Z-Boy,Trouper Rocker Recliner,749,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$779.99 SLBD / $535.00 HMKR,
R24,MDL,R-24,Better,La-Z-Boy,Astor Rocker Recliner,749,Recliner,Manual rocker,NOT STATED,Anchor,Survive my life,manual_rocker,Scale + Comfort,N,51.0,$698.99 HMKR / $999.99 SLBD,"Deep wide seat, 3-cushion tall pillow back, padded flared arms. The two retailers are $300 apart on this chair -- planned retail sits between."
R25,MDL,R-25,Better,La-Z-Boy,Pinnacle Power Headrest Recliner,799,Recliner,Power recline + headrest,NOT STATED,Anchor,My chair,power_headrest,Feature Reveal,N,51.0,$918.99 HMKR,"REVEAL: the headrest moves. La-Z-Boy's only verified simple-power rung below $1,200 -- the brand jumps straight to Tri-Power above this."
R26,MDL,R-26,Better,La-Z-Boy,Pinnacle Rocker Recliner,799,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$799.99 SLBD,Broadest sub-family in the La-Z-Boy line -- the workhorse slot.
R27,MDL,R-27,Better,La-Z-Boy,Scarlett High Leg Reclining Chair,799,Recliner,Push-back hi-leg,NOT STATED,Bridge,Will it fit,pushback_hileg,Silhouette Depth,Y,51.0,$729.99 SLBD,
R28,MDL,R-28,Better,La-Z-Boy,Pinnacle Wall Recliner,849,Recliner,Wall-saver,NOT STATED,Anchor,Will it fit,wall_saver,Space Saver,N,51.0,$849.99 SLBD,
R29,MDL,R-29,Better,La-Z-Boy,Randell Rocker Recliner,849,Recliner,Manual rocker,NOT STATED,Bridge,Built my size,manual_rocker,Big & Tall,N,51.0,"$777.99-$778.99 HMKR / $1,149.99 SLBD","Oversized big-man seat, reinforced steel frame, 'engineered for taller users'. Named in the brief as a $299 special purchase -- it is not. C-016."
R30,MDL,R-30,Better,Ashley,Rowlett Power Headrest + Lumbar Recliner,899,Recliner,Power recline + headrest + lumbar,NOT STATED,Anchor,Survive my life,power_lumbar,Feature Reveal,N,51.0,$657.00 HMKR,REVEAL: power lumbar. The ergonomic story starts here.
R31,MDL,R-31,Better,La-Z-Boy,Fulton Rocker Recliner,899,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$899.99 SLBD,
R32,MDL,R-32,Better,La-Z-Boy,Kodie Rocker Recliner,899,Recliner,Manual rocker,NOT STATED,Bridge,Survive my life,manual_rocker,Core Comfort,N,51.0,$899.99 SLBD,
R33,MDL,R-33,Better,Franklin,Sultan Power Oversized Rocker Recliner,949,Recliner,"Power recline, oversized",NOT STATED,Anchor,My chair,power_recline,Power + Scale,N,51.0,$949.99 SLBD,
R34,MDL,R-34,Better,La-Z-Boy,Ava Rocker Recliner,949,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$899.99 SLBD,
R35,MDL,R-35,Better,La-Z-Boy,Trouper Leather Rocker Recliner,999,Recliner,Manual rocker,Leather,Bridge,Survive my life,leather_match,Cover Reveal,N,51.0,$999.99 SLBD,"REVEAL: leather. Wipe-clean, and the first cover upgrade the customer can feel without touching a button."
R36,MDL,R-36,Better,La-Z-Boy,Dorian Rocker Recliner,999,Recliner,Manual rocker,NOT STATED,Anchor,My chair,manual_rocker,Core Comfort,N,51.0,$999.99 SLBD,
R37,MDL,R-37,Better,La-Z-Boy,Greyson Leather Rocker Recliner,1049,Recliner,Manual rocker,Leather,Bridge,My chair,leather_match,Leather Depth,N,51.0,$998.00-$999.99 HMKR,
R38,MDL,R-38,Better,La-Z-Boy,Pinnacle Leather Rocker Recliner,1099,Recliner,Manual rocker,Leather,Anchor,My chair,leather_match,Better Ceiling,N,51.0,"$1,099.99 SLBD",Top of Better. The last chair before the customer is deciding how much chair they want rather than which chair.
R39,MDL,R-39,Best,Franklin,Denali Power Rocker Recliner,1299,Recliner,Power recline + headrest,NOT STATED,Anchor,Does everything,usb_charging,Tech Reveal,Y,56.0,"$1,259.99 HMKR","REVEAL: TECH. Storage consoles in both arms, USB ports, cup holders, power headrest. Tech is held above $1,100 by merchant decision (C-017) because La-Z-Boy has no verified charging SKU at any price."
R40,MDL,R-40,Best,Flexsteel,Perfect Match Refined Leather Power Swivel Glider Recliner,1599,Recliner,Power recline + swivel glide + power headrest & lumbar,Refined leather,Bridge,Does everything,premium_leather,Leather Grade Up,Y,56.0,"$1,599.99 SLBD","REVEAL: leather grade. The category file's named 2026 Best entry at $1,599 refined leather -- VERIFIED exactly. Swivel-glider silhouette at Best."
R41,MDL,R-41,Best,La-Z-Boy,Roman Leather Reclining Oversize Chair,1899,Recliner,"Manual, oversized",Leather,Anchor,Built my size,premium_leather,Big & Tall Best,N,56.0,"$1,899.99 SLBD",The big-and-tall customer at Best. Sells without a discount.
R42,MDL,R-42,Best,La-Z-Boy,Contour Leather SoCozi Power+ Rocker Recliner,2299,Recliner,Power recline + headrest + SoCozi heat and massage,Leather,Accelerator,Does everything,massage,Wellness,N,56.0,"$1,999.99 SLBD",REVEAL: heat and massage. The only verified heat/massage recliner in the governed set. Planned retail is 15% above verified street -- confirm before ticketing.
R43,MDL,R-43,Best,Flexsteel,Everest Power Swivel Glider Recliner,2999,Recliner,Power recline + swivel glider,NOT STATED,Accelerator,Does everything,zero_gravity,Halo Anchor,Y,56.0,"$2,999.99 SLBD","THE CEILING. Verified at exactly $2,999.99. A swivel glider at the top of the floor, which is the whole under-35 argument made in one chair: the most expensive recliner we sell does not look like a recliner."
L01,MDL,L-01,Better,La-Z-Boy,Jean Lift Recliner,599,Lift,"Lift, 2-position",NOT STATED,Anchor,Easier to stand,lift_2position,Lift Entry,N,53.0,$535.00 HMKR,"The price that makes lift approachable. Merchandised as comfort, never as medical equipment."
L02,MDL,L-02,Better,Flexsteel,Granite Lift Chair Recliner,749,Lift,"Lift, 2-position",NOT STATED,Anchor,Easier to stand,lift_2position,Lift Value,N,53.0,$749.99 SLBD,
L03,MDL,L-03,Better,La-Z-Boy,Miller Lift Chair Recliner,899,Lift,"Lift, 3-position",NOT STATED,Anchor,Easier to stand,lift_3position,Lift Step-Up,N,53.0,$868.00 HMKR,"Rolled arms, chaise seat and footrest, 300 lb capacity."
L04,MDL,L-04,Better,La-Z-Boy,James Lift Recliner,1099,Lift,Lift + power recline,NOT STATED,Bridge,Easier to stand,lift_power_recline,Lift Power,N,53.0,"$1,159.00 HMKR",
L05,MDL,L-05,Best,La-Z-Boy,Emerald Lift Chair Recliner,1299,Lift,Lift + power recline,NOT STATED,Anchor,Easier to stand,lift_infinite,Lift Comfort,N,53.0,"$1,199.99 SLBD",
L06,MDL,L-06,Best,Flexsteel,Platinum Lift Recliner,1499,Lift,"Lift, infinite position",NOT STATED,Bridge,Easier to stand,lift_infinite,Lift Position,N,53.0,"$1,449.99 SLBD",
L07,MDL,L-07,Best,La-Z-Boy,Clayton Lift Recliner with Heat and Massage,1799,Lift,Lift + heat + 6-motor massage,NOT STATED,Anchor,Easier to stand,lift_heat_massage,Lift Wellness,N,53.0,"$1,658.99 HMKR","Two-temperature, two-position heat. The wellness rung of the lift ladder."
L08,MDL,L-08,Best,Franklin,Polaris Power Lift Chair Recliner,2199,Lift,"Lift + power, heavy duty",NOT STATED,Bridge,Easier to stand,lift_heavy_duty,Lift Capacity,N,53.0,"$2,199.99 SLBD","Franklin also fields a 500 lb Independence lift at $1,416.99 if capacity needs a dedicated slot next review."
L09,MDL,L-09,Best,Flexsteel,Zecliner Model 3+ Petite Lift Recliner,2799,Lift,"Lift, sleep positioning",NOT STATED,Accelerator,Easier to stand,lift_sleep_wellness,Halo Lift,Y,53.0,"$2,799.99 SLBD","The lift ceiling, and the only halo SKU on the floor with clinical backing: SleepScore Labs measured improvement across ~1,700 nights. 'Petite' is a small-scale frame -- the aging-in-place customer in an apartment."
X01,Off-slot,,Good,La-Z-Boy,Special Purchase Rocker Recliner (TBD),299,Recliner,Manual rocker,NOT STATED,Anchor,,manual_rocker,Doorbuster,N,36.0,NOT VERIFIED,"*** NOT VERIFIED — TO BE SOURCED. *** The category file names Vail and Collage at $299 and Randell/Joshua as $299 special purchases. None of those verified: Collage $399.99, Vail $499.99, Joshua $699.99, Randell $1,149.99. The Special Purchase PROGRAM is confirmed real. Vendor Relations owns closing this to a specific model at $299. See conflict C-016."
X02,Off-slot,,Good,Ashley,Nerviano Wall Hugging Recliner,299,Recliner,Wall-saver,NOT STATED,Accelerator,,wall_saver,Doorbuster,Y,36.0,$269.99 SLBD / $179.99 HMKR,"The only verified sub-$299 recliner in the governed set, and it is a wall-hugger -- an apartment chair at a doorbuster price. Event only."
X03,Off-slot,,Good,La-Z-Boy,Collage Rocker Recliner (2nd colourway),399,Recliner,Manual rocker,NOT STATED,Anchor,,manual_rocker,Promo Price Point,N,36.0,$399.99 SLBD,The matrix promo price point. Carries the advertised offer without taking a second MDL slot.
X04,Off-slot,,Good,Ashley,Seyler Lane Rocker Recliner,399,Recliner,Manual rocker,NOT STATED,Bridge,,manual_rocker,Promo Price Point,N,36.0,$389.99 SLBD,
X05,Off-slot,,Better,Ashley,Stonemeade Recliner,499,Recliner,Manual,NOT STATED,Anchor,,manual_rocker,Colour Flex,N,51.0,$499.99 SLBD,Store-level colour flex. Store flex for this category is colour flex only.
X06,Off-slot,,Better,La-Z-Boy,James Rocker Recliner (quick-ship),599,Recliner,Manual rocker,NOT STATED,Anchor,,manual_rocker,Quick-Ship,N,51.0,$599.99 SLBD,Rapid-replenishment stocking SKU. NOTE: the La-Z-Boy quick-ship programme is named in the category file but was NOT VERIFIED as a published programme.
X07,Off-slot,,Better,Franklin,Yogi Rocker Recliner,649,Recliner,Manual rocker,NOT STATED,Bridge,,manual_rocker,Colour Flex,N,51.0,$629.99 SLBD,
X08,Off-slot,,Better,La-Z-Boy,Jay Rocker Recliner (quick-ship),699,Recliner,Manual rocker,NOT STATED,Anchor,,manual_rocker,Quick-Ship,N,51.0,$699.99 SLBD,
X09,Off-slot,,Better,Franklin,Magnus Power Rocker Recliner,749,Recliner,Power recline + adjustable headrest + USB,NOT STATED,Anchor,,power_recline,Colour Flex,Y,51.0,$759.99 HMKR,"Built-in USB. Off-slot, so it does not violate the above-$1,100 tech rule for the governed ladder -- but it is the evidence that the rule costs us something. See C-017."
X10,Off-slot,,Better,La-Z-Boy,Pinnacle Rocker Recliner (quick-ship),799,Recliner,Manual rocker,NOT STATED,Anchor,,manual_rocker,Quick-Ship,N,51.0,$799.99 SLBD,
X11,Off-slot,,Better,La-Z-Boy,Fulton Rocker Recliner (quick-ship),899,Recliner,Manual rocker,NOT STATED,Bridge,,manual_rocker,Quick-Ship,N,51.0,$899.99 SLBD,
X12,Off-slot,,Better,Ashley,Dash Power Recliner,949,Recliner,Power recline,NOT STATED,Anchor,,power_recline,Colour Flex,N,51.0,$949.99 SLBD,
X13,Off-slot,,Better,La-Z-Boy,Trouper Power Headrest & Lumbar Wall Recliner,1099,Recliner,"Power recline + headrest + lumbar, wall-saver",NOT STATED,Anchor,,power_lumbar,Colour Flex,N,51.0,"$1,099.99 HMKR",
